Title,Date of First Article,Articles,Terms,Positiv,Negativ,Active,Passive,Strong,Weak,Econ@,POLIT,Milit
Friday: 03/04/2015,2015-04-03T02:30:00.000+01:00,89,0.29361737325986914,0.22667465256512517,-0.3682968938393917,0.04414501717064822,0.0641276203848185,-0.23304826960485173,0.07987537955410641,0.3737687711264855,-0.005255106366688615,0.8677549674718923
Tuesday: 14/04/2015,2015-04-14T13:30:00.000+01:00,343,-0.669158542705997,0.3128659771357923,-0.7295129216381002,0.3420832069672441,0.001828251882223977,-0.6333763716043469,0.11446458924392976,-0.029263182713718285,-0.1550899453384887,-0.14203032050646708
Wednesday: 08/04/2015,2015-04-08T02:30:00.000+01:00,133,0.7457014062523408,0.1454688526804215,0.09223364499761788,0.25456925783162687,-0.34295156867261506,-0.0007117896512913382,-0.023278612006123377,-0.14691239885039026,0.12096840393923289,1.2485547027358623
Sunday: 05/04/2015,2015-04-05T02:30:00.000+01:00,37,1.456061790430458,0.15059258688399005,0.2375894532834087,-0.09224287038907025,0.554228490258809,-0.5455929936558727,0.60208362266198,0.06725809792277702,-0.5117468426516653,0.7507639232757385
Thursday: 16/04/2015,2015-04-16T02:30:00.000+01:00,114,-0.05542018871026169,0.15120821427906098,-0.4921231442907302,-0.12817325793858528,-0.16811765139626364,-0.12495737406085008,-0.12218262936985991,-0.3003981442111307,-0.2890507829009846,-0.14511479349564552
Sunday: 12/04/2015,2015-04-12T02:30:00.000+01:00,113,-0.026964491484791308,0.2418153075956149,-0.2784831389776261,-0.38132626211934517,0.0011733357334816862,-0.1710828062223699,0.41357028789478717,-0.06182267998183198,-0.22424739660663986,-0.8283952696029222
Thursday: 02/04/2015,2015-04-02T01:01:00.000+01:00,48,0.5035488161306617,0.38994685185791256,-0.37651683049291934,0.3670242708969228,0.12439716792062838,-0.6856218628942148,0.3729681055378753,0.03860075774703447,-0.03172401896395059,0.8812563056987566
Wednesday: 01/04/2015,2015-04-01T02:30:00.000+01:00,40,0.5968934745502733,0.009953497552325979,-0.01854515093964084,0.2916998438767723,0.6699153477108275,-0.2259406803437807,0.660121785692129,0.44829988067738696,0.13679171392928577,1.2968319967285522
Saturday: 11/04/2015,2015-04-11T16:05:29.000+01:00,76,2.1929627409938823,0.7948477803145974,-0.3748205675361812,0.47629490704898536,0.02336608522524702,-0.19667116952061586,-0.0010694916661569305,-0.5210587705907578,0.10559389455424582,0.4654620491217345
Saturday: 04/04/2015,2015-04-04T01:00:00.000+01:00,32,1.6803654742409815,0.5685086553572273,-0.08913379033555936,0.4624616118822535,0.05847162288758048,-0.8107063705797783,0.553367962273155,-0.5587661446819725,0.019220620727348585,1.468143222688003
Wednesday: 15/04/2015,2015-04-15T02:30:00.000+01:00,56,0.5885351911483203,0.13259812432324353,-0.32904112599970653,0.3361082188687205,0.24521405862888987,-0.20182863158660752,-0.13222038627462265,-0.19690876728372353,0.027169133875090255,-0.1057965178930057
Tuesday: 07/04/2015,2015-04-07T07:48:02.000+01:00,419,-0.6998014287568594,0.19223965088967124,-0.24385281594869487,0.11241922721451374,-0.03098452755035292,-0.06839744713501242,0.2308344003204342,-0.0092297640829689,-0.02727442305292586,0.7052923216445411
Friday: 10/04/2015,2015-04-10T23:02:41.000+01:00,144,-0.1685155846752375,0.22619945631820326,-0.46777198139545195,-0.0009565546317746943,-0.0878058924246758,-0.07557463955310563,0.11128536413005352,0.5910035228512994,-0.19302903748253925,0.21208386389868086
Monday: 06/04/2015,2015-04-06T18:46:47.000+01:00,150,0.8189299876370014,0.4639159554804768,-0.014920396565414641,0.353847470112484,-0.34322324178038266,-0.8094881717176253,-0.27697536776897264,-0.31271182260455704,0.2486177494413763,0.5983002217498414
Monday: 13/04/2015,2015-04-13T13:30:27.000+01:00,592,-0.6534060883424322,0.07546465973370309,-0.297822916899536,-0.05920856143943446,-0.35319836924084985,-0.2782546923438918,0.05715800245824702,-0.3848144166038885,0.2404755816102113,-0.03310082306284619
Thursday: 09/04/2015,2015-04-09T18:55:00.000+01:00,498,-0.5709063058104407,0.07307699106492846,-0.23225658730542634,-0.03754180082563258,-0.3947598537368044,-0.20870202555751707,-0.23887452091919323,-0.6969829716397082,-0.029056424369393145,0.3951701593397001
Wednesday: 25/03/2015,2015-03-25T02:30:00.000Z,335,-0.343439368489733,0.04101081028081538,-0.19684340322556965,0.08655087425580998,-0.3465098815604015,-0.05421133068118637,-0.2567128058077488,-0.4949911153222388,0.22041516423203306,-0.11570186498700238
Tuesday: 03/03/2015,2015-03-03T17:00:02.000Z,1,-2.5525108594348813,-3.9576920838334946,0.8960854486999698,5.576994883579512,-3.856924229692182,3.633700016751628,-3.3495176436118825,-0.5479804756751631,6.0839110531728755,-2.6840652796110174
Saturday: 14/03/2015,2015-03-14T02:30:00.000Z,3,0.5928901034042027,0.6660523531702693,0.24244948464161312,-0.4697880467343637,-0.26296951845905964,-0.9239792033736085,0.4124374425339778,-0.09391875696652227,-0.5585251132880675,1.6143100259645649
Tuesday: 17/03/2015,2015-03-17T02:30:00.000Z,44,-0.1670158508361131,0.3020091848907691,-0.10480576455472401,0.021739259485706684,0.13813067513581465,-0.16593567342091514,-0.33352789829532514,-0.6674070213638871,0.0033519267513383833,0.4040881549533261
Thursday: 19/03/2015,2015-03-19T02:30:00.000Z,52,0.6902197688820586,0.5086340272590004,-0.43791723212222283,0.5098075492124329,0.3044367646909216,-0.046120977251557595,-0.3867129645628328,0.3196433681872006,0.00749110896876408,-0.4728787584363975
